?,1/64,1/32,1/16,2/16,3/16,1/4-?
0.56527714,0.367572401,0.191576051,0.272075825,0.302402996,0.291876973,0.206477511
0.440723696,0.489713699,0.367301042,0.27606543,0.235710311,0.255008274,0.221436388
0.448718028,0.34355463,0.333054034,0.358110222,0.387601009,0.325888314,0.16074465
0.432560611,0.534012413,0.245931351,0.229811068,0.213928755,0.317637332,0.275052922
0.710154407,0.398437033,0.28208109,0.335776017,0.385862169,0.228258043,0.192894837
0.457411728,0.263225298,0.230387695,0.359268588,0.210651659,0.297936117,0.30884621
0.446514566,0.324666381,0.437556309,0.42796078,0.280430469,0.357220901,0.233044481
0.435453108,0.273399998,0.37623504,0.461801095,0.315032078,0.22855004,0.276794338
0.773482752,0.396848328,0.310874174,0.299041352,0.454668489,0.276752914,0.178114175
0.457319463,0.405703517,0.344320861,0.174161219,0.224583352,0.421375892,0.378696414
0.630839301,0.352877978,0.374800255,0.321794283,0.276851145,0.235917825,0.214785532
0.401263412,0.406035979,0.415061996,0.304914113,0.44010863,0.196332556,0.131981563
0.7351411,0.377601757,0.200366877,0.355517941,0.132746875,0.232705788,0.254115507
0.46631473,0.353122075,0.365430418,0.279610132,0.395856481,0.232623372,0.197690678
0.452072481,0.443289471,0.553882568,0.251457966,0.322244843,0.199468808,0.246379102
0.442741261,0.407142268,0.272877555,0.284544307,0.45207575,0.304607713,0.323742422
0.599930819,0.390343804,0.3542969,0.38161277,0.193778564,0.493882504,0.280903001
0.457251143,0.297257684,0.246862518,0.313090942,0.368457941,0.317203633,0.202845189
0.365315324,0.487505884,0.278564952,0.387215848,0.225706829,0.416787769,0.266627257
0.363143748,0.318479305,0.364480452,0.346571354,0.214222751,0.312660834,0.247927026
0.71035595,0.576452943,0.375957497,0.543795376,0.380342994,0.373995623,0.335887065
0.438567332,0.394462303,0.377599214,0.391614081,0.47552612,0.378586684,0.127534731
0.443440096,0.419645099,0.398794035,0.362891885,0.234987882,0.283805164,0.29865033
0.582048918,0.388311392,0.442497565,0.361467832,0.347484272,0.278620898,0.280805168
0.458331026,0.491476062,0.418504955,0.26266491,0.199238077,0.17356851,0.13212923
0.431359971,0.450660738,0.319920603,0.279195042,0.306555346,0.255558695,0.247632687
0.439724138,0.373270266,0.354745897,0.276741847,0.297120719,0.181435556,0.184591327
0.482558342,0.231832562,0.257203948,0.248683513,0.287590268,0.278136039,0.473342704
0.452591309,0.319682494,0.23367413,0.188178067,0.32210042,0.155284625,0.19868837
0.454493196,0.398985111,0.303074859,0.378910486,0.220264677,0.18388488,0.331454907
